Asin(ax)	Bsin(bx)	Asin_Bsin
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
-0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
-0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
-0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
-0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
-0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
-0.00	-0.00	-0.00
8.68	22.98	31.66
17.10	29.54	46.65
25.00	15.00	40.00
32.14	-10.26	21.88
38.30	-28.19	10.11
43.30	-25.98	17.32
46.98	-5.21	41.78
49.24	19.28	68.52
50.00	30.00	80.00
49.24	19.28	68.52
46.98	-5.21	41.78
43.30	-25.98	17.32
38.30	-28.19	10.11
32.14	-10.26	21.88
25.00	15.00	40.00
17.10	29.54	46.65
8.68	22.98	31.66
0.00	0.00	0.00
-8.68	-22.98	-31.66
-17.10	-29.54	-46.65
-25.00	-15.00	-40.00
-32.14	10.26	-21.88
-38.30	28.19	-10.11
-43.30	25.98	-17.32
-46.98	5.21	-41.78
-49.24	-19.28	-68.52
-50.00	-30.00	-80.00
-49.24	-19.28	-68.52
-46.98	5.21	-41.78
-43.30	25.98	-17.32
-38.30	28.19	-10.11
-32.14	10.26	-21.88
-25.00	-15.00	-40.00
-17.10	-29.54	-46.65
-8.68	-22.98	-31.66
-0.00	0.00	-0.00
